Region,Crop_Type,Rainfall_mm,Temperature_C,Humidity_%,Soil_pH,Fertilizer_kg_per_hectare,Pesticide_kg_per_hectare,Area_hectare,Crop_Yield_ton_per_hectare
East,Sugarcane,1377.83,31.98,84.33,6.85,126.81,2.72,0.65,21.57
Central,Rice,1964.43,20.58,55.69,6.76,104.64,4.68,13.46,20.42
West,Wheat,1942.14,32.74,58.09,6.22,182.48,3.27,3.69,30.56
North,Rice,1095.23,17.86,67.06,6.77,255.39,4.21,7.4,18.1
West,Maize,1763.53,27.85,51.12,7.43,297.79,1.15,17.9,33.5
Central,Sugarcane,592.61,33.88,61.87,7.1,229.12,1.0,6.92,28.23
South,Cotton,738.28,31.69,65.47,4.57,137.27,7.71,19.98,20.52
Central,Rice,1317.33,30.58,31.49,5.23,193.79,6.2,1.02,29.48
North,Sugarcane,739.21,33.32,59.59,4.93,118.2,1.75,14.89,27.15
Central,Maize,590.26,18.04,66.19,7.02,50.87,3.01,16.23,14.43
South,Cotton,724.63,28.24,39.29,6.9,170.63,3.32,6.36,21.25
West,Rice,931.82,35.59,41.95,8.31,257.74,3.79,11.71,31.15
East,Maize,1972.07,25.96,81.26,7.24,258.35,9.84,17.07,27.83
West,Wheat,540.68,20.73,36.36,7.68,207.69,3.55,12.45,14.2
South,Sugarcane,536.68,17.3,33.92,7.4,195.59,7.25,1.39,18.83
South,Sugarcane,470.15,36.1,88.0,5.6,280.41,1.32,5.1,27.15
North,Rice,782.88,38.48,50.91,8.35,279.43,5.4,9.92,36.85
Central,Maize,578.81,30.68,37.34,6.46,250.24,8.01,10.12,27.54
Central,Cotton,470.62,15.19,68.5,6.01,183.17,3.36,7.82,10.93
West,Cotton,1112.15,16.16,32.02,7.14,126.87,4.29,14.1,17.55
East,Cotton,1687.38,19.3,76.39,6.35,247.51,8.07,3.31,28.88
East,Cotton,559.33,15.28,43.36,5.27,179.38,6.88,10.76,19.08
North,Rice,569.37,27.97,53.77,6.28,264.4,4.64,3.74,30.7
South,Rice,1698.28,21.94,53.04,4.82,96.36,4.91,5.51,21.7
North,Sugarcane,924.08,19.64,82.18,6.11,108.16,4.27,11.22,20.07
Central,Maize,1200.36,25.05,82.42,4.56,52.39,6.49,6.21,24.56
South,Wheat,1649.48,19.05,64.21,7.28,201.14,1.0,11.81,21.94
North,Rice,1054.1,29.71,85.48,7.54,169.49,5.08,9.54,25.54
West,Cotton,431.68,16.93,65.82,5.1,167.97,6.1,7.71,15.08
Central,Wheat,1065.85,21.26,32.48,6.79,160.35,7.67,17.82,20.13
East,Sugarcane,1818.38,17.25,56.33,6.79,138.5,1.81,16.61,16.07
North,Cotton,595.96,37.45,38.97,4.51,286.97,7.33,12.86,30.61
Central,Maize,1481.92,22.86,38.52,7.31,163.42,2.31,5.5,24.01
Central,Wheat,1195.62,33.86,80.04,5.16,193.06,3.76,4.71,25.84
East,Sugarcane,1251.12,18.23,32.97,4.67,231.41,1.91,6.56,24.96
East,Rice,1728.08,34.36,77.93,4.71,66.38,4.05,1.0,27.24
East,Maize,1657.37,27.12,77.51,7.39,226.78,8.79,17.64,25.87
North,Cotton,1975.93,33.63,81.07,7.81,104.49,4.6,3.19,31.75
East,Wheat,669.11,27.2,30.78,7.58,170.84,7.21,1.13,23.79
West,Sugarcane,805.97,19.3,34.13,6.93,265.8,3.28,11.99,19.97
Central,Wheat,1594.64,18.24,49.14,6.92,132.85,3.12,18.13,18.02
East,Maize,1742.74,20.54,31.29,6.94,274.84,1.26,3.58,29.0
Central,Rice,1715.2,26.61,84.89,6.46,59.45,9.46,6.65,25.09
South,Rice,1130.52,27.35,81.78,6.91,105.04,8.47,8.89,21.45
South,Maize,572.79,27.25,48.03,4.69,101.45,7.0,14.87,24.12
East,Cotton,986.97,30.05,44.78,6.82,278.82,4.54,15.43,28.69
Central,Wheat,848.7,17.98,33.69,6.85,273.24,9.37,6.03,27.24
South,Cotton,1217.27,36.44,54.56,5.17,126.05,3.98,6.2,29.88
East,Sugarcane,663.15,36.59,78.15,6.53,56.64,7.83,14.87,24.26
Central,Cotton,1422.55,30.52,84.1,6.15,150.58,8.26,9.12,25.84
East,Maize,1944.61,35.52,60.16,6.83,282.39,3.88,0.99,38.56
Central,Rice,1576.58,19.94,68.39,7.99,163.97,3.56,4.21,17.78
South,Maize,1974.69,27.44,43.56,7.09,63.19,2.76,9.28,22.2
East,Maize,1538.59,18.3,38.89,4.84,220.26,5.17,12.56,21.0
South,Wheat,1586.5,29.11,31.63,5.78,171.92,4.74,19.07,22.94
East,Maize,1250.95,39.58,46.13,5.42,87.89,9.07,12.76,32.07
North,Sugarcane,1916.83,19.82,48.72,6.15,252.83,8.79,8.41,19.2
South,Wheat,975.34,19.8,71.96,7.78,89.38,7.49,10.36,13.4
South,Wheat,1622.64,35.32,80.32,6.95,96.06,6.39,9.37,29.3
West,Cotton,402.55,25.1,65.27,6.87,51.4,2.87,5.65,19.66
South,Maize,1694.64,21.66,59.06,8.14,263.32,5.41,11.79,25.32
Central,Cotton,870.79,20.14,44.3,7.32,168.66,5.25,15.93,22.8
East,Cotton,534.35,29.28,50.77,8.08,155.96,5.61,7.74,21.56
North,Wheat,1557.77,28.16,71.38,6.8,67.59,1.03,9.33,23.63
Central,Cotton,1235.53,37.94,74.0,5.38,133.5,3.56,1.71,31.14
Central,Cotton,858.27,26.91,76.04,6.97,100.83,8.71,8.71,23.83
Central,Wheat,1606.57,29.66,40.71,7.74,74.15,9.28,4.47,22.57
Central,Wheat,1081.25,27.06,83.16,6.26,52.55,3.11,9.74,22.46
North,Rice,1440.25,36.36,43.45,4.54,72.73,7.38,12.68,35.03
West,Maize,1996.77,18.05,40.79,7.15,156.49,2.53,19.65,19.99
South,Rice,406.39,25.84,45.87,6.51,94.98,9.52,15.24,19.36
Central,Wheat,1756.73,36.7,72.93,6.24,136.44,5.43,13.48,27.78
South,Sugarcane,1293.96,15.97,31.31,6.52,64.74,7.91,4.85,16.65
South,Cotton,995.57,33.84,88.66,6.91,134.68,4.37,1.16,21.34
Central,Cotton,1922.1,21.52,77.34,6.96,265.26,9.49,19.67,27.14
West,Wheat,1902.42,34.43,88.43,5.7,221.29,5.28,18.03,32.22
South,Cotton,496.87,29.8,77.41,5.07,168.13,1.98,2.7,26.15
East,Rice,1513.8,25.14,43.9,7.33,75.09,1.59,2.08,18.64
South,Cotton,1364.82,34.61,39.01,6.7,241.91,4.71,3.03,26.89
Central,Sugarcane,1484.42,21.02,42.48,5.17,183.57,8.56,1.91,22.66
North,Maize,1917.47,25.11,36.73,8.29,59.18,7.2,11.98,25.88
South,Rice,1984.7,18.14,75.08,5.92,286.83,4.19,3.42,27.29
West,Maize,792.37,19.54,37.18,5.09,211.16,6.55,6.83,19.71
East,Maize,870.05,27.73,38.48,6.14,73.89,2.74,18.42,26.28
East,Sugarcane,1575.7,21.09,57.27,6.63,184.75,4.97,15.31,23.43
North,Sugarcane,1523.66,18.63,57.84,7.77,228.8,4.07,11.05,24.56
North,Sugarcane,633.22,25.87,85.46,6.78,247.05,6.63,1.63,25.69
South,Sugarcane,1917.24,19.36,59.68,8.24,296.49,5.09,12.03,25.42
Central,Rice,1689.5,37.02,55.61,8.2,265.32,8.27,12.67,31.36
West,Sugarcane,930.3,37.19,44.1,5.77,275.45,9.13,3.62,34.23
East,Rice,1328.72,37.7,44.96,7.69,260.21,1.53,16.94,37.51
North,Cotton,1558.2,39.04,38.86,8.18,135.6,6.59,11.03,31.53
West,Maize,1811.92,21.17,53.14,6.13,117.31,4.39,8.33,20.53
Central,Cotton,1982.85,29.15,70.9,7.07,274.21,1.4,19.09,31.89
East,Cotton,1530.99,22.4,72.75,4.81,205.19,9.82,14.07,26.38
East,Wheat,1336.48,19.37,69.42,7.03,225.64,3.35,19.64,19.53
Central,Cotton,1930.8,21.8,68.96,8.21,118.99,6.08,6.45,21.98
East,Cotton,1225.49,23.1,66.4,6.81,221.59,1.07,4.96,21.46
Central,Wheat,764.75,26.49,72.05,6.79,276.04,4.41,12.33,25.23
East,Cotton,551.11,18.73,49.91,8.38,164.21,5.91,11.58,13.6
South,Wheat,653.81,16.87,68.42,7.25,70.68,6.45,3.37,10.9
Central,Rice,1347.21,24.73,54.54,8.24,287.65,5.44,8.07,34.65
West,Maize,1475.75,29.25,57.25,8.02,174.83,5.43,3.24,35.18
South,Sugarcane,1638.33,35.34,67.23,8.27,237.84,1.69,15.37,38.03
West,Cotton,884.29,27.43,85.11,7.99,194.72,1.8,5.74,15.5
East,Rice,992.78,32.44,53.21,5.19,287.39,4.81,16.08,29.54
West,Maize,1674.85,36.55,78.42,8.33,84.5,5.83,7.12,31.59
South,Rice,633.12,31.91,40.22,5.7,146.96,5.75,5.66,28.12
Central,Wheat,1777.35,19.5,71.31,4.9,256.61,8.04,5.52,23.68
North,Rice,852.02,31.03,89.83,8.07,161.08,5.89,12.33,20.13
West,Cotton,1136.11,39.51,69.22,6.04,252.93,3.81,6.52,42.18
North,Cotton,763.27,35.42,56.6,5.93,102.76,3.6,8.25,26.41
West,Sugarcane,631.79,28.67,51.45,7.42,247.11,6.86,7.27,21.14
West,Sugarcane,1608.87,37.16,47.46,5.12,272.2,6.14,17.44,35.61
Central,Cotton,1670.14,16.34,80.1,5.99,100.69,4.69,10.14,19.27
East,Rice,920.18,34.5,57.57,6.65,231.99,2.1,7.66,29.22
South,Cotton,1842.63,30.88,45.71,8.13,186.95,4.5,9.72,29.95
South,Rice,1485.98,19.53,77.84,8.45,292.66,7.57,1.71,25.63
South,Cotton,1237.78,34.51,47.39,5.21,207.08,5.31,17.61,26.51
East,Maize,1757.77,38.37,34.4,5.27,199.1,5.47,7.19,37.83
North,Rice,1804.37,33.87,57.03,5.29,78.95,7.14,14.28,30.12
South,Wheat,1359.1,32.51,82.59,8.44,219.71,5.01,7.45,25.71
North,Wheat,1334.83,33.74,32.34,8.17,184.7,4.09,18.41,26.73
East,Sugarcane,1495.5,17.81,40.06,6.07,141.75,9.04,13.86,20.92
East,Maize,1310.72,37.32,60.22,5.32,230.28,3.1,14.4,33.45
Central,Wheat,1326.67,30.64,67.71,4.86,164.91,6.16,1.56,30.18
South,Cotton,1357.14,22.17,41.09,7.37,140.83,3.75,11.43,19.43
Central,Wheat,915.26,16.85,68.76,7.29,79.9,2.95,9.58,13.97
South,Cotton,1605.93,34.03,34.53,8.37,286.93,7.85,8.11,34.73
East,Maize,973.14,31.41,83.3,5.46,222.72,2.27,2.59,27.45
East,Sugarcane,1436.27,31.61,80.17,7.54,244.27,7.55,9.84,28.61
West,Wheat,1562.35,26.55,42.43,5.28,188.72,7.3,8.51,30.13
West,Sugarcane,1291.04,36.52,66.09,8.3,93.27,5.34,5.04,28.19
East,Maize,772.61,37.55,76.29,5.96,192.34,5.83,3.58,28.61
East,Rice,1325.71,29.08,38.63,5.84,259.94,9.5,8.41,26.69
North,Maize,1707.43,34.77,33.06,6.09,69.41,1.55,11.41,24.33
North,Maize,528.35,34.71,43.73,5.93,70.18,4.93,6.34,21.77
Central,Maize,1453.52,31.99,86.39,7.28,230.65,5.83,14.03,31.24
West,Rice,573.34,24.77,60.24,7.07,92.99,6.6,19.26,18.49
West,Rice,1436.32,24.79,63.42,8.39,224.36,1.36,4.75,26.51
East,Maize,846.25,20.38,73.49,4.85,224.25,1.74,19.77,25.66
East,Rice,1825.16,15.91,41.71,7.43,54.01,8.18,14.56,18.67
Central,Cotton,1033.34,24.1,59.93,5.98,92.52,8.17,2.02,19.6
West,Maize,1015.64,31.49,56.83,7.63,266.72,9.31,5.63,29.97
North,Wheat,1765.69,25.12,55.83,5.95,185.01,6.38,17.87,27.49
South,Cotton,1941.02,30.69,87.36,5.0,174.17,8.67,11.1,27.9
Central,Maize,445.99,35.64,84.39,5.23,251.03,7.69,15.98,32.0
South,Wheat,1185.14,28.77,80.28,7.77,64.63,5.65,15.19,16.97
North,Wheat,1305.67,25.08,44.4,4.95,188.44,7.04,1.98,26.0
North,Sugarcane,1882.07,15.89,86.24,6.45,181.27,6.22,7.41,24.54
South,Sugarcane,1350.81,24.67,65.89,7.9,81.54,4.89,2.86,15.36
Central,Wheat,1323.89,30.35,39.63,7.07,130.99,5.2,9.38,22.2
South,Maize,1583.29,36.78,39.37,5.22,59.69,3.56,19.53,36.11
Central,Maize,1665.66,22.2,42.65,7.14,210.15,9.02,18.14,23.98
Central,Maize,1149.79,24.17,45.12,8.05,215.94,1.33,12.59,20.0
East,Maize,657.73,24.91,86.12,7.09,155.75,5.03,16.86,21.12
West,Wheat,1769.1,34.59,73.09,5.59,72.12,6.13,7.82,28.95
West,Rice,663.98,32.58,86.39,5.5,225.0,7.05,13.12,30.07
North,Rice,1967.98,17.45,54.78,5.08,135.9,4.48,15.91,21.45
East,Maize,980.51,22.56,51.68,8.12,239.61,5.75,6.49,25.59
West,Sugarcane,1922.39,37.51,80.33,7.79,240.53,9.37,7.92,33.57
Central,Wheat,1522.75,33.11,57.73,6.51,235.26,6.47,18.1,30.97
Central,Rice,1784.31,35.78,33.76,6.29,246.66,1.24,9.98,32.82
South,Wheat,1908.11,30.9,37.21,7.19,77.02,2.11,12.49,23.56
South,Sugarcane,1471.14,35.61,70.91,5.66,222.05,2.57,7.86,30.69
Central,Wheat,1648.52,33.62,81.57,5.64,82.75,2.44,9.7,23.85
Central,Sugarcane,724.98,33.99,51.67,5.31,157.62,6.66,14.63,30.06
South,Sugarcane,1011.19,26.88,54.17,4.95,283.66,8.66,8.8,30.9
West,Cotton,1040.9,29.75,42.35,4.71,85.1,4.53,4.92,22.09
North,Sugarcane,673.29,31.69,89.44,8.36,126.66,7.42,8.75,22.45
South,Cotton,1296.9,18.11,37.08,5.27,63.97,4.11,3.25,16.32
West,Sugarcane,1593.31,37.63,67.46,5.02,56.58,6.8,8.61,31.91
West,Sugarcane,803.3,22.65,63.33,8.08,291.38,9.92,5.29,26.51
West,Wheat,1562.22,21.78,34.05,8.02,200.69,2.43,1.8,23.02
East,Cotton,1720.44,26.94,71.23,5.46,55.06,9.02,1.21,20.22
East,Rice,424.27,32.29,71.2,6.2,194.89,4.81,19.64,26.28
West,Rice,1743.94,30.57,83.35,7.7,104.12,3.41,7.86,27.24
Central,Wheat,746.95,27.87,86.29,4.83,248.33,2.94,11.31,28.91
East,Rice,427.1,17.4,87.7,6.05,192.89,4.89,15.0,12.31
South,Rice,1682.33,38.85,47.69,6.4,205.2,4.88,3.13,34.47
East,Sugarcane,1662.17,15.04,36.78,7.19,259.14,7.8,14.09,22.48
Central,Maize,422.26,25.77,34.68,7.01,50.67,5.79,7.05,13.47
North,Maize,514.59,36.11,47.25,8.22,153.01,5.14,2.73,26.69
East,Rice,1874.36,15.51,59.68,4.72,75.99,3.82,4.65,17.28
West,Wheat,1848.36,30.1,64.11,5.7,245.22,7.93,1.51,32.17
West,Wheat,1235.56,38.0,45.25,6.44,106.69,2.29,19.31,31.11
West,Cotton,1766.6,18.52,78.96,8.35,158.67,1.01,14.84,23.31
North,Wheat,877.0,26.28,45.9,5.84,179.73,6.56,11.07,22.57
Central,Wheat,647.62,38.7,69.37,7.82,153.6,1.88,3.31,28.98
South,Sugarcane,1961.69,37.1,54.45,5.57,68.66,4.08,10.59,35.02
Central,Sugarcane,1324.84,16.55,65.33,5.22,289.18,2.98,2.82,22.88
North,Rice,874.06,27.13,30.71,7.9,270.89,7.39,1.51,28.19
West,Wheat,1227.76,38.39,30.38,6.98,241.57,9.14,16.67,38.26
Central,Maize,1361.85,32.98,60.21,7.86,71.21,9.92,9.79,24.68
South,Wheat,929.95,27.61,59.89,7.69,106.56,2.28,13.01,28.52
West,Wheat,1627.2,15.13,41.04,4.8,104.7,3.85,19.55,16.28
South,Rice,463.89,27.94,82.98,5.93,54.04,1.46,2.89,20.32
East,Maize,786.27,38.0,53.86,6.22,175.52,2.61,7.94,31.15
South,Rice,899.41,28.63,43.3,5.96,58.99,6.71,13.29,20.88
West,Wheat,1557.65,18.81,47.75,7.31,231.14,1.02,7.97,25.81
East,Maize,1674.35,33.65,35.21,7.97,83.18,3.93,12.31,33.08
West,Wheat,1400.11,25.25,82.05,4.54,293.75,6.95,13.8,28.8
West,Rice,930.5,30.35,57.09,5.99,111.23,3.73,3.57,26.12
East,Rice,818.51,39.73,52.88,7.13,169.25,1.37,14.88,29.16
South,Sugarcane,1035.18,38.31,58.45,6.8,230.99,7.4,6.99,31.55
North,Maize,1102.87,27.41,48.23,8.42,282.95,9.17,3.93,26.32
North,Sugarcane,1351.12,21.37,62.68,5.06,200.3,9.32,8.87,23.95
North,Maize,1484.28,15.61,41.43,7.0,135.27,3.01,4.33,17.19
North,Cotton,1004.96,25.2,47.35,8.33,210.09,9.64,10.15,26.9
Central,Maize,592.09,18.48,31.56,4.79,289.0,5.73,3.89,20.32
North,Wheat,1103.16,20.63,37.37,8.26,233.95,8.3,11.08,16.88
East,Maize,978.53,32.73,35.45,8.16,179.74,5.36,3.08,24.45
North,Sugarcane,495.58,18.54,87.43,6.32,211.73,7.79,5.41,20.26
West,Rice,728.7,39.49,78.1,6.62,213.58,8.34,5.22,30.49
North,Rice,1063.95,18.85,86.19,7.92,209.33,6.78,16.68,19.02
South,Maize,1285.0,37.39,82.85,6.19,295.39,3.18,7.07,34.88
East,Cotton,1271.41,23.51,80.78,6.54,266.85,5.64,17.33,30.56
East,Rice,739.63,30.54,77.9,5.04,102.73,1.68,13.24,26.55
Central,Rice,769.34,28.33,62.48,8.34,203.11,4.86,7.73,23.4
West,Rice,1537.46,16.24,74.95,7.84,132.33,9.29,4.89,17.37
East,Cotton,946.08,34.38,71.25,6.94,208.22,1.36,16.48,25.64
South,Sugarcane,702.94,19.24,66.67,4.75,296.95,2.48,11.9,17.34
North,Maize,1125.14,20.06,81.73,5.57,137.47,5.49,1.57,16.28
East,Cotton,1189.18,27.95,88.72,7.37,132.73,7.43,16.92,18.93
South,Maize,718.93,15.55,86.29,6.63,103.41,8.49,6.83,11.04
North,Wheat,1147.58,32.57,43.11,4.58,218.36,7.98,8.22,26.38
Central,Maize,1597.19,20.7,54.19,8.46,270.38,5.56,7.84,22.68
East,Rice,673.16,28.18,36.66,4.54,85.51,3.1,0.61,21.72
East,Cotton,973.82,19.17,38.69,6.77,128.29,8.17,13.59,19.58
South,Cotton,562.15,32.41,59.37,4.54,185.37,5.19,8.35,23.22
West,Sugarcane,744.21,15.37,62.37,5.26,121.39,9.32,10.8,12.37
Central,Wheat,1091.54,23.35,60.45,5.67,269.95,2.63,14.11,23.07
West,Sugarcane,1959.11,27.05,83.67,7.01,238.24,9.65,17.16,26.85
East,Sugarcane,1518.38,19.23,79.97,8.2,115.86,8.08,11.99,23.24
West,Wheat,1890.47,15.02,69.31,6.45,219.91,8.54,7.2,21.38
North,Rice,567.48,37.44,45.04,6.62,232.58,3.34,1.79,32.59
Central,Cotton,1907.11,35.98,75.7,7.41,144.05,6.7,14.4,30.2
West,Maize,1217.69,16.22,39.29,5.43,256.19,2.36,17.61,21.74
North,Wheat,851.72,34.0,49.97,4.91,268.83,7.93,5.62,29.72
South,Sugarcane,1751.65,21.35,64.1,8.05,114.54,8.65,13.88,21.62
West,Maize,1362.16,15.82,63.04,7.57,229.2,8.34,3.61,25.43
Central,Wheat,545.19,28.24,42.08,6.71,213.67,5.88,12.63,23.83
North,Wheat,1256.48,37.88,79.75,5.59,227.89,7.53,8.01,38.59
West,Rice,1427.01,20.19,32.43,8.11,240.67,9.12,5.72,20.46
South,Rice,428.43,19.42,37.6,4.54,118.6,7.34,17.43,13.83
West,Cotton,1279.43,37.89,65.34,7.7,52.72,9.57,9.41,27.58
North,Cotton,981.11,19.17,57.08,6.66,248.78,1.26,1.36,19.29
West,Maize,1130.97,15.26,31.71,8.25,199.7,1.78,14.7,20.62
Central,Cotton,574.32,36.46,89.84,6.9,67.0,4.33,4.36,24.31
East,Wheat,1204.61,16.15,89.74,4.52,122.94,2.64,2.58,19.54
North,Wheat,1975.56,22.13,52.05,5.3,118.29,4.22,12.45,23.16
North,Wheat,1580.98,21.41,30.78,5.28,73.44,8.47,6.07,20.03
North,Wheat,1884.57,31.28,67.49,5.92,100.27,8.25,17.89,29.12
North,Rice,843.99,20.8,37.22,4.81,174.53,9.97,11.94,17.39
West,Wheat,1011.97,24.22,87.53,5.87,187.41,2.54,15.13,25.45
Central,Wheat,1438.42,32.85,55.84,5.78,274.3,8.43,13.95,34.6
South,Wheat,1583.41,27.41,77.86,7.1,120.52,5.11,5.71,19.64
Central,Sugarcane,886.54,31.58,58.53,5.42,80.01,6.2,12.85,28.51
North,Maize,956.15,19.19,39.87,6.72,119.15,4.46,7.12,15.77
West,Maize,610.75,38.72,59.41,7.46,102.03,1.89,19.87,27.69
West,Wheat,1485.93,28.11,82.14,4.78,274.6,7.76,4.95,26.93
North,Wheat,957.63,15.34,64.61,5.56,166.96,9.19,18.87,20.13
West,Maize,621.92,24.17,78.2,6.32,68.29,7.4,5.6,14.45
North,Cotton,1414.38,33.48,80.56,6.25,279.13,4.72,3.72,35.72
Central,Sugarcane,419.95,23.97,38.28,5.48,298.64,4.75,10.87,24.54
East,Sugarcane,1920.12,26.6,72.56,4.8,147.71,7.95,5.46,25.03
West,Cotton,1425.65,19.3,38.78,4.74,178.15,2.01,7.77,22.89
North,Wheat,1372.56,21.09,59.42,5.97,254.07,6.6,4.18,24.5
North,Maize,1435.4,15.76,61.99,4.6,91.33,9.26,8.32,21.08
West,Sugarcane,906.47,28.35,59.38,8.33,92.48,6.05,13.24,21.12
South,Cotton,773.14,29.56,48.21,8.38,242.37,2.26,4.73,28.84
North,Cotton,1258.89,18.23,85.89,7.5,283.8,8.81,10.48,24.11
West,Rice,1910.5,23.52,55.78,4.71,179.32,3.32,6.54,22.93
North,Cotton,849.7,26.61,73.8,6.27,97.54,9.09,18.7,22.95
South,Rice,1546.24,39.62,55.59,7.05,116.54,4.1,1.03,31.27
East,Rice,1957.22,25.29,58.22,6.39,136.41,6.46,18.85,19.41
South,Sugarcane,1279.01,22.43,48.22,8.16,103.61,2.2,8.25,16.13
Central,Wheat,1133.76,28.38,46.53,7.3,187.27,4.71,14.01,30.6
West,Wheat,1596.93,31.2,40.93,6.51,186.82,9.8,18.26,35.52
South,Cotton,626.22,27.37,33.3,6.52,140.84,6.78,6.43,19.03
East,Maize,452.95,25.74,74.29,6.12,201.68,6.15,9.62,18.45
North,Maize,962.98,29.49,45.39,6.68,57.54,6.77,7.76,21.4
West,Rice,1739.57,28.53,89.55,8.17,160.88,3.43,3.22,28.12
South,Cotton,524.03,22.9,84.05,6.1,124.21,4.45,14.91,19.44
East,Cotton,1345.74,25.7,72.5,5.18,252.42,2.7,17.04,29.07
South,Wheat,482.43,23.48,78.07,4.56,105.77,3.58,10.97,15.19
Central,Maize,1201.55,26.43,80.52,6.97,299.75,4.25,6.57,33.77
West,Sugarcane,608.11,36.16,54.94,8.27,52.57,9.61,5.05,20.63
North,Cotton,1372.12,27.79,59.74,6.12,102.62,5.12,14.17,28.04
East,Cotton,896.29,24.2,37.28,7.51,125.21,7.51,14.16,15.23
South,Wheat,993.08,37.46,43.85,6.71,163.65,2.48,18.67,32.92
West,Sugarcane,500.74,23.01,49.22,4.7,182.71,2.02,16.55,19.57
South,Sugarcane,1641.67,28.86,32.91,4.72,104.95,8.23,1.37,26.27
West,Sugarcane,1364.25,27.31,67.64,7.42,166.19,9.57,4.17,26.77
Central,Sugarcane,1330.52,38.37,70.17,6.35,115.79,7.98,7.64,32.98
South,Maize,1452.94,23.81,38.34,7.78,60.4,1.11,14.98,20.93
Central,Rice,1462.0,32.58,34.86,5.35,221.89,9.45,19.93,34.97
East,Sugarcane,963.67,31.0,80.0,8.0,256.13,1.86,19.45,26.17
Central,Rice,839.17,15.05,81.06,4.77,152.05,3.98,14.84,18.31
West,Rice,876.03,32.9,59.33,7.59,78.5,5.01,6.27,24.51
East,Wheat,1698.18,30.27,88.05,6.76,182.5,4.47,17.31,21.09
South,Sugarcane,671.19,24.65,55.53,5.88,144.26,7.03,17.57,20.24
South,Maize,1178.82,36.36,33.6,6.75,85.35,4.08,12.0,24.15
West,Wheat,1401.05,19.71,57.45,7.99,212.01,1.18,11.88,20.64
North,Wheat,1225.99,35.8,74.55,5.77,160.1,3.88,7.67,28.3
North,Rice,1285.35,39.89,79.23,6.99,167.4,4.53,0.79,31.88
South,Cotton,1742.47,26.14,78.14,7.77,68.67,2.99,12.17,25.51
West,Maize,927.04,26.31,32.42,7.63,292.47,5.97,15.89,25.26
North,Sugarcane,953.37,35.7,89.0,8.02,75.0,2.89,19.77,26.19
Central,Sugarcane,665.38,29.03,33.07,6.2,154.79,6.5,1.07,25.77
South,Maize,1600.49,24.82,35.24,7.85,229.71,5.86,18.55,30.16
Central,Sugarcane,731.67,25.33,36.98,6.71,90.5,2.39,6.07,22.96
West,Cotton,1231.63,17.22,86.35,7.49,98.76,1.54,5.36,18.2
Central,Cotton,1766.65,27.83,59.18,8.27,180.46,3.73,9.4,27.2
North,Sugarcane,557.04,20.02,77.11,6.08,203.62,6.22,5.15,23.33
North,Wheat,669.63,32.5,38.39,8.32,279.43,4.77,4.14,32.58
East,Sugarcane,693.58,34.85,51.54,6.29,256.66,1.04,1.54,25.67
South,Sugarcane,615.01,26.78,65.55,7.64,77.0,3.81,7.38,23.32
West,Maize,1911.81,23.21,77.8,7.57,219.93,7.52,17.98,21.25
South,Cotton,1583.92,30.1,87.25,5.0,243.22,8.83,5.84,29.92
Central,Wheat,1127.95,15.22,87.62,7.02,154.61,6.75,2.14,18.04
West,Maize,876.23,29.43,65.27,8.24,58.63,3.44,11.33,21.08
West,Maize,584.3,32.15,85.62,4.63,218.79,5.54,18.58,27.14
North,Wheat,437.88,21.0,30.55,4.92,107.0,9.04,3.44,22.52
Central,Wheat,1439.9,34.6,84.94,6.57,167.07,7.67,11.1,32.1
North,Maize,1208.11,30.91,44.94,6.78,245.91,7.1,7.75,30.07
North,Sugarcane,1347.89,26.47,43.77,8.2,155.25,8.52,8.89,24.62
East,Wheat,667.96,15.78,87.64,6.93,215.56,8.07,8.76,19.49
North,Rice,1341.97,15.71,85.56,4.69,90.72,9.46,18.17,14.73
South,Wheat,727.08,16.85,70.3,5.74,288.18,3.95,5.1,13.4
West,Maize,465.65,29.92,70.87,8.2,147.21,8.78,2.32,23.44
North,Rice,1795.45,30.43,31.54,5.71,153.32,2.66,1.18,32.86
South,Maize,1723.77,30.7,87.04,7.62,93.89,6.95,14.35,27.77
Central,Cotton,1342.14,15.68,58.26,6.47,261.22,7.47,19.62,22.67
West,Cotton,1863.71,31.17,31.5,6.79,171.56,8.97,15.37,34.12
Central,Sugarcane,1635.59,24.49,46.54,6.61,147.41,5.11,1.46,23.99
South,Wheat,839.21,30.16,54.56,5.92,272.95,6.75,3.52,27.0
Central,Maize,1863.51,35.71,33.26,4.51,204.64,4.58,16.68,33.32
Central,Rice,1021.0,15.63,44.65,5.33,73.31,8.44,10.0,18.05
Central,Wheat,1973.35,36.33,53.21,6.56,293.64,1.78,5.5,36.04
North,Sugarcane,1516.26,24.19,50.67,6.36,195.89,6.61,3.76,26.98
North,Maize,733.35,29.34,58.35,7.17,286.6,5.57,0.97,24.18
North,Maize,1032.92,34.31,70.65,7.08,164.34,8.77,11.64,21.81
West,Cotton,1464.53,32.87,77.68,7.12,186.3,8.57,13.54,27.44
South,Sugarcane,1661.43,15.4,62.96,5.16,138.77,5.98,4.8,23.02
North,Maize,1322.32,26.33,40.78,6.75,149.28,8.72,13.27,25.79
Central,Cotton,1584.57,35.16,66.0,8.14,176.96,7.61,18.62,30.28
Central,Cotton,1170.6,20.23,73.37,5.78,262.79,7.74,13.48,27.96
Central,Rice,856.3,37.69,59.41,5.75,126.38,2.01,12.04,31.25
